Phone timestamp;RR-interval [ms]
2021-07-13T00:46:59.506;1021
2021-07-13T00:47:00.527;950
2021-07-13T00:47:01.477;911
2021-07-13T00:47:02.388;851
2021-07-13T00:47:03.239;867
2021-07-13T00:47:04.106;838
2021-07-13T00:47:04.944;919
2021-07-13T00:47:05.863;918
2021-07-13T00:47:06.781;919
2021-07-13T00:47:07.700;981
2021-07-13T00:47:08.681;922
2021-07-13T00:47:09.603;910
2021-07-13T00:47:10.513;843
2021-07-13T00:47:11.356;895
2021-07-13T00:47:12.251;950
2021-07-13T00:47:13.201;934
2021-07-13T00:47:14.135;880
2021-07-13T00:47:15.015;906
2021-07-13T00:47:15.921;867
2021-07-13T00:47:16.788;869
2021-07-13T00:47:17.657;869
2021-07-13T00:47:18.526;816
2021-07-13T00:47:19.342;800
2021-07-13T00:47:20.142;778
2021-07-13T00:47:20.920;773
2021-07-13T00:47:21.693;830
2021-07-13T00:47:22.523;894
2021-07-13T00:47:23.417;910
2021-07-13T00:47:24.327;906
2021-07-13T00:47:25.233;1100
2021-07-13T00:47:26.333;1040
2021-07-13T00:47:27.373;1058
2021-07-13T00:47:28.431;1021
2021-07-13T00:47:29.452;898
2021-07-13T00:47:30.350;966
2021-07-13T00:47:31.316;908
2021-07-13T00:47:32.224;911
2021-07-13T00:47:33.135;998
2021-07-13T00:47:34.133;897
2021-07-13T00:47:35.030;880
2021-07-13T00:47:35.910;982
2021-07-13T00:47:36.892;939
2021-07-13T00:47:37.831;1042
2021-07-13T00:47:38.873;993
2021-07-13T00:47:39.866;913
2021-07-13T00:47:40.779;821
2021-07-13T00:47:41.600;809
